ts_utc,open,high,low,close,volume,interpolated
13:30,37.860,38.060,37.480,37.480,4571,0
13:35,37.290,37.340,36.950,36.950,11255,0
13:40,36.980,37.075,36.820,36.820,4965,0
13:45,36.790,36.790,36.470,36.620,11008,0
13:50,36.595,36.835,36.490,36.660,11727,0
13:55,36.715,36.960,36.695,36.880,5473,0
14:00,36.880,37.035,36.750,36.920,8597,0
14:05,36.870,36.870,36.700,36.820,6916,0
14:10,36.835,36.835,36.450,36.475,8284,0
14:15,36.490,36.740,36.490,36.635,5280,0
14:20,36.715,36.715,36.450,36.490,12915,0
14:25,36.420,36.420,36.320,36.370,4199,0
14:30,36.420,36.425,36.075,36.075,3868,0
14:35,36.030,36.130,35.780,35.780,10662,0
14:40,35.700,35.760,35.580,35.590,15065,0
14:45,35.630,35.840,35.620,35.735,6925,0
14:50,35.750,35.860,35.6915,35.855,6067,0
14:55,35.8862,35.915,35.770,35.825,6012,0
15:00,35.800,35.820,35.800,35.820,300,0
15:05,35.620,35.760,35.600,35.720,6112,0
15:10,35.730,35.970,35.730,35.900,7625,0
15:15,36.0221,36.040,35.815,35.820,7448,0
15:20,35.860,35.880,35.860,35.880,449,0
15:25,35.840,35.860,35.595,35.645,9400,0
15:30,35.560,35.560,35.440,35.470,3387,0
15:35,35.430,35.430,35.3899,35.3993,4040,0
15:40,35.450,35.530,35.420,35.430,1400,0
15:45,35.510,35.530,35.430,35.480,2300,0
15:50,35.470,35.730,35.470,35.705,3078,0
15:55,35.680,35.780,35.650,35.745,3382,0
16:00,35.7892,35.910,35.7892,35.910,1086,0
16:05,35.840,35.880,35.810,35.880,1117,0
16:10,35.880,35.880,35.880,35.880,0,1
16:15,35.962,35.962,35.840,35.840,6492,0
16:20,35.760,35.860,35.7363,35.8199,3168,0
16:25,35.755,35.810,35.725,35.810,450,0
16:30,35.760,35.8199,35.760,35.8199,600,0
16:35,35.850,35.850,35.850,35.850,500,0
16:40,35.830,35.835,35.700,35.700,2050,0
16:45,35.720,35.720,35.650,35.650,849,0
16:50,35.615,35.615,35.550,35.5638,2017,0
16:55,35.590,35.600,35.475,35.490,8409,0
17:00,35.570,35.570,35.505,35.505,678,0
17:05,35.540,35.570,35.535,35.570,2000,0
17:10,35.560,35.560,35.4337,35.4337,1186,0
17:15,35.430,35.460,35.390,35.4283,4799,0
17:20,35.395,35.4162,35.370,35.400,3713,0
17:25,35.350,35.380,35.350,35.350,1427,0
17:30,35.310,35.310,35.310,35.310,100,0
17:35,35.310,35.310,35.300,35.300,303,0
17:40,35.340,35.395,35.3263,35.380,2325,0
17:45,35.3395,35.340,35.290,35.340,5285,0
17:50,35.370,35.490,35.370,35.440,1069,0
17:55,35.520,35.5827,35.520,35.5827,16150,0
18:00,35.600,35.640,35.590,35.640,1200,0
18:05,35.670,35.670,35.660,35.660,200,0
18:10,35.610,35.6475,35.580,35.630,2100,0
18:15,35.660,35.770,35.660,35.770,1400,0
18:20,35.760,35.770,35.700,35.720,11763,0
18:25,35.690,35.730,35.670,35.670,600,0
18:30,35.670,35.720,35.660,35.720,16010,0
18:35,35.680,35.680,35.680,35.680,100,0
18:40,35.690,35.7899,35.675,35.7899,1942,0
18:45,35.692,35.700,35.660,35.660,3975,0
18:50,35.620,35.625,35.620,35.625,200,0
18:55,35.6776,35.6776,35.6776,35.6776,2805,0
19:00,35.640,35.6895,35.6201,35.630,1903,0
19:05,35.565,35.590,35.5401,35.590,1298,0
19:10,35.5256,35.550,35.5037,35.550,1038,0
19:15,35.560,35.600,35.530,35.540,6381,0
19:20,35.580,35.600,35.570,35.570,1638,0
19:25,35.530,35.570,35.500,35.500,2300,0
19:30,35.425,35.425,35.210,35.210,3350,0
19:35,35.260,35.310,35.210,35.210,4373,0
19:40,35.210,35.230,35.040,35.040,11022,0
19:45,35.040,35.050,34.920,34.940,18181,0
19:50,34.900,35.000,34.760,34.760,7947,0
19:55,34.840,34.910,34.7002,34.770,15635,0
